~~~~SSSSS~ - ~~~~~~~~~~ | ~~~S~P~~CC - ~~~~~~~~~~
~~PP*PPPPP - ~~~~~*~~~~ | C~SSF*F~~~ - ~~~~*~~~~~
~C*~~~##~~ - ~~~~~~~.*~ | ~~SSFPF~*~ - ~~*~..*#~~
~FFFFFF*~~ - .~~.~~~~~~ | ~~S~FPF~S~ - ~~~~~~~*~~
~~*C~~~~~~ - ~..~*~~.~~ | ~~~~*PF~S~ - .~*~~~..~~
SSSSS~~~~~ - ~~*~~**~~~ | ~C*~F**~S~ - ~~~~~~~.~~
~~~*C~~~~~ - ~~~~*.*~~~ | ~~~~*~*~S~ - ~~~*~..~~.
~~~~~~~~~~ - ~~~.~~.~~. | ~CC~~~~~~~ - ~.~~~~~.~.

~~~~*SS*S~ - .~~~~*~~~* | ~~~S~*~~C* - .~~.*~~*~.
~~~~~SSSSS - ~~*~.*~.~~ | ~~*S~*~~~~ - .~~.~~~~~~
F*F*FFF~~~ - ~~*~*~~~.~ | C~*S*PF~~~ - ~*~*~~~~~~
~~PP*PPPPP - ~~~~~*~~~~ | C~SSF*F~~~ - ~~~~*~~~~~
~C*~~~##~~ - ~~~~~~~.*~ | ~~SSFPF~*~ - ~~*~..*#~~
~FFFFF**~~ - .~~.~~~~~~ | ~~S~FPF~S~ - ~~~~~~**~~
~~*C~~~~~~ - ~..~*~~.~~ | ~~~~*PF~S~ - .~*~~~..~~
SSSSS~~~~~ - ~~*~~**~~~ | ~C*~F**~S~ - ~~~~~~~.~~
~~~*C~~~~~ - ~~~~*.*.~~ | ~~~~*~*~S~ - ~~~*~..~~.
~~~~~~~~~~ - ~~~.~~.~~. | ~CC~~~~~~~ - ~.~~~~~.~.

~~~~*SS*S~ - .~~~~*~~~* | ~~~S~*~~C* - .~~.*~~*~.
~~~~~SSSSS - ~~*~.*~.~~ | ~~*S~*~~~~ - .~~.~~~~~~
F*F*FFF~~~ - ~~*~*~~..~ | C~*S*PF~~~ - ~*~*~~~.~~
~~PP*PPPPP - ~~~~~*~~~~ | C~SSF*F~~~ - ~~~~*~~~~~
~C*~~~##~~ - ~~~~~~~.*~ | ~~SSFPF~*~ - ~~*~..*#~~
~FFFFF**~~ - .~~.~~~~~~ | ~~S~FPF~S~ - ~~~~~~**~~
~~*C~~~~~~ - ~..~*~~.~~ | ~~~~*PF~S~ - .~*~~~..~~
SSSSS~~~~~ - ~~*~~**~~~ | ~C*~F**~S~ - ~~~~~~~.~~
~~~*C~~~~~ - ~~~~*.*.~~ | ~~~~*~*~S~ - ~~~*~..~~.
~~~~~~~~~~ - ~~~.~~.~~. | ~CC~~~~~~~ - ~.~~~~~.~.

